"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061448","GO:0061448","connective tissue development","77/2281","303/21288",0.254125412541254,2.37168863751785,8.3307759380631,2.91463053806166e-13,1.8198953079657e-09,1.42663494757755e-09,"ENSG00000003402/ENSG00000008710/ENSG00000054938/ENSG00000060718/ENSG00000075391/ENSG00000100644/ENSG00000102882/ENSG00000104331/ENSG00000104415/ENSG00000105204/ENSG00000105664/ENSG00000105855/ENSG00000105997/ENSG00000106571/ENSG00000107796/ENSG00000108821/ENSG00000109906/ENSG00000110492/ENSG00000112062/ENSG00000112658/ENSG00000113721/ENSG00000116132/ENSG00000116285/ENSG00000116604/ENSG00000121879/ENSG00000125398/ENSG00000125965/ENSG00000130529/ENSG00000130635/ENSG00000132170/ENSG00000132356/ENSG00000133104/ENSG00000134532/ENSG00000136378/ENSG00000136999/ENSG00000137642/ENSG00000138669/ENSG00000138696/ENSG00000139567/ENSG00000139687/ENSG00000142871/ENSG00000143869/ENSG00000147655/ENSG00000148339/ENSG00000148400/ENSG00000149257/ENSG00000155850/ENSG00000159167/ENSG00000159216/ENSG00000160200/ENSG00000160712/ENSG00000162878/ENSG00000162998/ENSG00000163513/ENSG00000164920/ENSG00000165240/ENSG00000165915/ENSG00000166949/ENSG00000168542/ENSG00000168646/ENSG00000168792/ENSG00000170315/ENSG00000170365/ENSG00000171509/ENSG00000174697/ENSG00000174705/ENSG00000176890/ENSG00000179295/ENSG00000181027/ENSG00000182158/ENSG00000182197/ENSG00000182704/ENSG00000183688/ENSG00000184371/ENSG00000196739/ENSG00000196843/ENSG00000198832",77
"GO:0030198","GO:0030198","extracellular matrix organization","87/2281","387/21288",0.224806201550388,2.09805980649042,7.55198345985565,1.25524688444698e-11,3.02082550920052e-08,2.36805668056617e-08,"ENSG00000003402/ENSG00000004866/ENSG00000019144/ENSG00000028137/ENSG00000046653/ENSG00000049089/ENSG00000060718/ENSG00000069399/ENSG00000077943/ENSG00000080573/ENSG00000081052/ENSG00000086062/ENSG00000087116/ENSG00000091136/ENSG00000092969/ENSG00000100767/ENSG00000101439/ENSG00000102760/ENSG00000102996/ENSG00000103196/ENSG00000105664/ENSG00000105971/ENSG00000105974/ENSG00000105993/ENSG00000106397/ENSG00000106991/ENSG00000107821/ENSG00000108821/ENSG00000114270/ENSG00000116962/ENSG00000123342/ENSG00000125398/ENSG00000129038/ENSG00000130635/ENSG00000132170/ENSG00000134853/ENSG00000134871/ENSG00000135862/ENSG00000136378/ENSG00000137273/ENSG00000137673/ENSG00000138316/ENSG00000139329/ENSG00000139687/ENSG00000140092/ENSG00000140564/ENSG00000142871/ENSG00000143382/ENSG00000144824/ENSG00000148400/ENSG00000149257/ENSG00000154734/ENSG00000154736/ENSG00000157483/ENSG00000157613/ENSG00000159216/ENSG00000160867/ENSG00000162493/ENSG00000163131/ENSG00000163661/ENSG00000163697/ENSG00000164692/ENSG00000164761/ENSG00000165240/ENSG00000166482/ENSG00000166670/ENSG00000166949/ENSG00000167642/ENSG00000168542/ENSG00000168646/ENSG00000169031/ENSG00000171502/ENSG00000171509/ENSG00000171819/ENSG00000174705/ENSG00000181027/ENSG00000182197/ENSG00000182718/ENSG00000187498/ENSG00000188153/ENSG00000196569/ENSG00000196739/ENSG00000197496/ENSG00000204262/ENSG00000206561/ENSG00000215018/ENSG00000224470",87
"GO:0043062","GO:0043062","extracellular structure organization","87/2281","388/21288",0.224226804123711,2.09265243585514,7.52467667029714,1.45138957841152e-11,3.02082550920052e-08,2.36805668056617e-08,"ENSG00000003402/ENSG00000004866/ENSG00000019144/ENSG00000028137/ENSG00000046653/ENSG00000049089/ENSG00000060718/ENSG00000069399/ENSG00000077943/ENSG00000080573/ENSG00000081052/ENSG00000086062/ENSG00000087116/ENSG00000091136/ENSG00000092969/ENSG00000100767/ENSG00000101439/ENSG00000102760/ENSG00000102996/ENSG00000103196/ENSG00000105664/ENSG00000105971/ENSG00000105974/ENSG00000105993/ENSG00000106397/ENSG00000106991/ENSG00000107821/ENSG00000108821/ENSG00000114270/ENSG00000116962/ENSG00000123342/ENSG00000125398/ENSG00000129038/ENSG00000130635/ENSG00000132170/ENSG00000134853/ENSG00000134871/ENSG00000135862/ENSG00000136378/ENSG00000137273/ENSG00000137673/ENSG00000138316/ENSG00000139329/ENSG00000139687/ENSG00000140092/ENSG00000140564/ENSG00000142871/ENSG00000143382/ENSG00000144824/ENSG00000148400/ENSG00000149257/ENSG00000154734/ENSG00000154736/ENSG00000157483/ENSG00000157613/ENSG00000159216/ENSG00000160867/ENSG00000162493/ENSG00000163131/ENSG00000163661/ENSG00000163697/ENSG00000164692/ENSG00000164761/ENSG00000165240/ENSG00000166482/ENSG00000166670/ENSG00000166949/ENSG00000167642/ENSG00000168542/ENSG00000168646/ENSG00000169031/ENSG00000171502/ENSG00000171509/ENSG00000171819/ENSG00000174705/ENSG00000181027/ENSG00000182197/ENSG00000182718/ENSG00000187498/ENSG00000188153/ENSG00000196569/ENSG00000196739/ENSG00000197496/ENSG00000204262/ENSG00000206561/ENSG00000215018/ENSG00000224470",87
"GO:0045229","GO:0045229","external encapsulating structure organization","87/2281","390/21288",0.223076923076923,2.08192088490203,7.47030838955346,1.93609537926936e-11,3.02224488703946e-08,2.36916934568487e-08,"ENSG00000003402/ENSG00000004866/ENSG00000019144/ENSG00000028137/ENSG00000046653/ENSG00000049089/ENSG00000060718/ENSG00000069399/ENSG00000077943/ENSG00000080573/ENSG00000081052/ENSG00000086062/ENSG00000087116/ENSG00000091136/ENSG00000092969/ENSG00000100767/ENSG00000101439/ENSG00000102760/ENSG00000102996/ENSG00000103196/ENSG00000105664/ENSG00000105971/ENSG00000105974/ENSG00000105993/ENSG00000106397/ENSG00000106991/ENSG00000107821/ENSG00000108821/ENSG00000114270/ENSG00000116962/ENSG00000123342/ENSG00000125398/ENSG00000129038/ENSG00000130635/ENSG00000132170/ENSG00000134853/ENSG00000134871/ENSG00000135862/ENSG00000136378/ENSG00000137273/ENSG00000137673/ENSG00000138316/ENSG00000139329/ENSG00000139687/ENSG00000140092/ENSG00000140564/ENSG00000142871/ENSG00000143382/ENSG00000144824/ENSG00000148400/ENSG00000149257/ENSG00000154734/ENSG00000154736/ENSG00000157483/ENSG00000157613/ENSG00000159216/ENSG00000160867/ENSG00000162493/ENSG00000163131/ENSG00000163661/ENSG00000163697/ENSG00000164692/ENSG00000164761/ENSG00000165240/ENSG00000166482/ENSG00000166670/ENSG00000166949/ENSG00000167642/ENSG00000168542/ENSG00000168646/ENSG00000169031/ENSG00000171502/ENSG00000171509/ENSG00000171819/ENSG00000174705/ENSG00000181027/ENSG00000182197/ENSG00000182718/ENSG00000187498/ENSG00000188153/ENSG00000196569/ENSG00000196739/ENSG00000197496/ENSG00000204262/ENSG00000206561/ENSG00000215018/ENSG00000224470",87
"GO:0043434","GO:0043434","response to peptide hormone","97/2281","470/21288",0.206382978723404,1.92612049586314,7.03331401739465,1.41860668311832e-10,1.77155602587816e-07,1.3887412792632e-07,"ENSG00000003402/ENSG00000004799/ENSG00000067900/ENSG00000070808/ENSG00000072310/ENSG00000073756/ENSG00000089006/ENSG00000095637/ENSG00000096968/ENSG00000100485/ENSG00000101255/ENSG00000102882/ENSG00000105971/ENSG00000105974/ENSG00000107104/ENSG00000107562/ENSG00000108061/ENSG00000108821/ENSG00000108840/ENSG00000108946/ENSG00000112062/ENSG00000114650/ENSG00000116285/ENSG00000117461/ENSG00000119508/ENSG00000121361/ENSG00000121691/ENSG00000121858/ENSG00000121879/ENSG00000122641/ENSG00000122877/ENSG00000123358/ENSG00000123612/ENSG00000126561/ENSG00000130513/ENSG00000130766/ENSG00000131871/ENSG00000132155/ENSG00000132170/ENSG00000132334/ENSG00000132356/ENSG00000132376/ENSG00000133639/ENSG00000134243/ENSG00000134318/ENSG00000134324/ENSG00000135679/ENSG00000136111/ENSG00000137642/ENSG00000139687/ENSG00000140443/ENSG00000144891/ENSG00000145386/ENSG00000145675/ENSG00000146247/ENSG00000147140/ENSG00000148730/ENSG00000148926/ENSG00000149212/ENSG00000150907/ENSG00000153823/ENSG00000155511/ENSG00000155897/ENSG00000159346/ENSG00000163069/ENSG00000163083/ENSG00000163884/ENSG00000164850/ENSG00000166263/ENSG00000166579/ENSG00000166949/ENSG00000167114/ENSG00000167193/ENSG00000168461/ENSG00000168542/ENSG00000168610/ENSG00000169047/ENSG00000173039/ENSG00000173757/ENSG00000174697/ENSG00000177674/ENSG00000178567/ENSG00000179295/ENSG00000182621/ENSG00000184304/ENSG00000185122/ENSG00000185338/ENSG00000185650/ENSG00000185950/ENSG00000197594/ENSG00000197879/ENSG00000198793/ENSG00000204406/ENSG00000213341/ENSG00000213625/ENSG00000221926/ENSG00000233608",97
"GO:0001503","GO:0001503","ossification","101/2281","499/21288",0.202404809619238,1.88899324295237,6.96137482843007,1.86766501879757e-10,1.94361672956201e-07,1.52362146270328e-07,"ENSG00000019186/ENSG00000019991/ENSG00000046653/ENSG00000054938/ENSG00000060718/ENSG00000061273/ENSG00000066468/ENSG00000067955/ENSG00000070404/ENSG00000073712/ENSG00000073756/ENSG00000074047/ENSG00000078804/ENSG00000089041/ENSG00000100644/ENSG00000101265/ENSG00000101384/ENSG00000101938/ENSG00000102882/ENSG00000104331/ENSG00000104415/ENSG00000105664/ENSG00000105810/ENSG00000105996/ENSG00000106571/ENSG00000107821/ENSG00000107882/ENSG00000107937/ENSG00000108262/ENSG00000108588/ENSG00000108821/ENSG00000109906/ENSG00000110492/ENSG00000112062/ENSG00000112773/ENSG00000116604/ENSG00000120899/ENSG00000121691/ENSG00000122877/ENSG00000123610/ENSG00000125398/ENSG00000125965/ENSG00000130529/ENSG00000132170/ENSG00000133818/ENSG00000133835/ENSG00000134243/ENSG00000136378/ENSG00000137693/ENSG00000138696/ENSG00000138829/ENSG00000142871/ENSG00000147274/ENSG00000147655/ENSG00000148400/ENSG00000150630/ENSG00000150938/ENSG00000152580/ENSG00000155090/ENSG00000155850/ENSG00000157613/ENSG00000159167/ENSG00000159216/ENSG00000160200/ENSG00000160712/ENSG00000162496/ENSG00000162643/ENSG00000162878/ENSG00000163823/ENSG00000164023/ENSG00000164050/ENSG00000164692/ENSG00000164920/ENSG00000165732/ENSG00000166341/ENSG00000166949/ENSG00000167460/ENSG00000168214/ENSG00000168646/ENSG00000170365/ENSG00000170989/ENSG00000174306/ENSG00000174697/ENSG00000177706/ENSG00000179295/ENSG00000180694/ENSG00000181027/ENSG00000182197/ENSG00000183023/ENSG00000183160/ENSG00000183688/ENSG00000184304/ENSG00000184371/ENSG00000185432/ENSG00000196305/ENSG00000196923/ENSG00000197594/ENSG00000204262/ENSG00000205213/ENSG00000221869/ENSG00000233608",101
"GO:0071375","GO:0071375","cellular response to peptide hormone stimulus","75/2281","337/21288",0.222551928783383,2.07702124504193,6.90398640523504,5.27678793921755e-10,4.70689484178205e-07,3.68978404772355e-07,"ENSG00000003402/ENSG00000004799/ENSG00000067900/ENSG00000070808/ENSG00000072310/ENSG00000089006/ENSG00000095637/ENSG00000096968/ENSG00000100485/ENSG00000101255/ENSG00000102882/ENSG00000105971/ENSG00000105974/ENSG00000107104/ENSG00000108061/ENSG00000108840/ENSG00000108946/ENSG00000117461/ENSG00000119508/ENSG00000121879/ENSG00000122641/ENSG00000123358/ENSG00000126561/ENSG00000130513/ENSG00000131871/ENSG00000132155/ENSG00000132170/ENSG00000132334/ENSG00000132356/ENSG00000132376/ENSG00000134318/ENSG00000134324/ENSG00000135679/ENSG00000136111/ENSG00000137642/ENSG00000139687/ENSG00000140443/ENSG00000144891/ENSG00000145386/ENSG00000145675/ENSG00000146247/ENSG00000147140/ENSG00000148730/ENSG00000149212/ENSG00000150907/ENSG00000153823/ENSG00000155511/ENSG00000155897/ENSG00000159346/ENSG00000163069/ENSG00000163083/ENSG00000164850/ENSG00000166263/ENSG00000166579/ENSG00000167114/ENSG00000167193/ENSG00000168461/ENSG00000168610/ENSG00000169047/ENSG00000173039/ENSG00000173757/ENSG00000174697/ENSG00000177674/ENSG00000179295/ENSG00000182621/ENSG00000184304/ENSG00000185122/ENSG00000185338/ENSG00000185650/ENSG00000185950/ENSG00000197594/ENSG00000197879/ENSG00000198793/ENSG00000204406/ENSG00000213625",75
"GO:0032970","GO:0032970","regulation of actin filament-based process","87/2281","416/21288",0.209134615384615,1.95180082959566,6.79162653759965,6.34995937231864e-10,4.9561432900947e-07,3.88517251069496e-07,"ENSG00000006451/ENSG00000046653/ENSG00000055163/ENSG00000064666/ENSG00000067900/ENSG00000070087/ENSG00000070610/ENSG00000071127/ENSG00000073712/ENSG00000075142/ENSG00000079691/ENSG00000088756/ENSG00000100092/ENSG00000102760/ENSG00000103647/ENSG00000105974/ENSG00000106780/ENSG00000107104/ENSG00000107562/ENSG00000107796/ENSG00000108830/ENSG00000111859/ENSG00000112290/ENSG00000113721/ENSG00000115963/ENSG00000117152/ENSG00000120899/ENSG00000121879/ENSG00000125753/ENSG00000125868/ENSG00000130340/ENSG00000130529/ENSG00000132376/ENSG00000132854/ENSG00000132970/ENSG00000133789/ENSG00000134318/ENSG00000134853/ENSG00000135723/ENSG00000136051/ENSG00000136238/ENSG00000141298/ENSG00000143322/ENSG00000143761/ENSG00000144824/ENSG00000145242/ENSG00000145362/ENSG00000145675/ENSG00000146122/ENSG00000148180/ENSG00000151491/ENSG00000156232/ENSG00000159167/ENSG00000160460/ENSG00000162493/ENSG00000162643/ENSG00000162704/ENSG00000163171/ENSG00000163431/ENSG00000163485/ENSG00000165533/ENSG00000166949/ENSG00000167193/ENSG00000167657/ENSG00000168309/ENSG00000169750/ENSG00000170776/ENSG00000170873/ENSG00000170989/ENSG00000171132/ENSG00000172403/ENSG00000172602/ENSG00000172725/ENSG00000174437/ENSG00000179820/ENSG00000184009/ENSG00000184304/ENSG00000186575/ENSG00000196405/ENSG00000196924/ENSG00000197045/ENSG00000197046/ENSG00000197321/ENSG00000197872/ENSG00000197948/ENSG00000198121/ENSG00000198793",87
"GO:1901653","GO:1901653","cellular response to peptide","86/2281","417/21288",0.206235011990408,1.92473955951416,6.60661380565984,1.62815688465684e-09,1.12957906531081e-06,8.85488832006351e-07,"ENSG00000003402/ENSG00000004799/ENSG00000067900/ENSG00000070808/ENSG00000072310/ENSG00000080815/ENSG00000089006/ENSG00000095637/ENSG00000096968/ENSG00000100485/ENSG00000100600/ENSG00000101255/ENSG00000102882/ENSG00000103222/ENSG00000105971/ENSG00000105974/ENSG00000107104/ENSG00000108061/ENSG00000108840/ENSG00000108946/ENSG00000111602/ENSG00000116106/ENSG00000116584/ENSG00000117461/ENSG00000118689/ENSG00000119508/ENSG00000121879/ENSG00000122641/ENSG00000123358/ENSG00000126561/ENSG00000129473/ENSG00000130513/ENSG00000131871/ENSG00000132155/ENSG00000132170/ENSG00000132334/ENSG00000132356/ENSG00000132376/ENSG00000133216/ENSG00000134318/ENSG00000134324/ENSG00000135679/ENSG00000136111/ENSG00000137642/ENSG00000139687/ENSG00000140443/ENSG00000144891/ENSG00000145386/ENSG00000145675/ENSG00000146247/ENSG00000147140/ENSG00000148730/ENSG00000149212/ENSG00000150907/ENSG00000153823/ENSG00000155511/ENSG00000155897/ENSG00000159346/ENSG00000162692/ENSG00000163069/ENSG00000163083/ENSG00000163884/ENSG00000164850/ENSG00000166263/ENSG00000166579/ENSG00000167114/ENSG00000167193/ENSG00000168461/ENSG00000168610/ENSG00000169047/ENSG00000173039/ENSG00000173757/ENSG00000174697/ENSG00000177674/ENSG00000179295/ENSG00000182621/ENSG00000184304/ENSG00000185122/ENSG00000185338/ENSG00000185650/ENSG00000185950/ENSG00000197594/ENSG00000197879/ENSG00000198793/ENSG00000204406/ENSG00000213625",86
"GO:0070482","GO:0070482","response to oxygen levels","80/2281","387/21288",0.20671834625323,1.9292503967728,6.3909848853517,5.37680726498954e-09,3.35727845625947e-06,2.63180566128435e-06,"ENSG00000003402/ENSG00000064393/ENSG00000066468/ENSG00000069667/ENSG00000073756/ENSG00000092969/ENSG00000100292/ENSG00000100644/ENSG00000101460/ENSG00000102760/ENSG00000103257/ENSG00000105974/ENSG00000107438/ENSG00000107562/ENSG00000108821/ENSG00000110090/ENSG00000112658/ENSG00000112715/ENSG00000114650/ENSG00000116016/ENSG00000116106/ENSG00000118689/ENSG00000119630/ENSG00000119772/ENSG00000120899/ENSG00000121361/ENSG00000121691/ENSG00000122641/ENSG00000123104/ENSG00000124440/ENSG00000124762/ENSG00000124766/ENSG00000128342/ENSG00000129484/ENSG00000132170/ENSG00000132356/ENSG00000134318/ENSG00000135018/ENSG00000135679/ENSG00000136997/ENSG00000137801/ENSG00000139567/ENSG00000139644/ENSG00000140299/ENSG00000142279/ENSG00000145386/ENSG00000147140/ENSG00000148400/ENSG00000148926/ENSG00000150630/ENSG00000150907/ENSG00000151694/ENSG00000153904/ENSG00000156113/ENSG00000158828/ENSG00000159167/ENSG00000159720/ENSG00000160200/ENSG00000162692/ENSG00000163485/ENSG00000164171/ENSG00000164305/ENSG00000164442/ENSG00000164754/ENSG00000165240/ENSG00000165272/ENSG00000166949/ENSG00000169057/ENSG00000171132/ENSG00000172379/ENSG00000174697/ENSG00000174804/ENSG00000177674/ENSG00000183044/ENSG00000185122/ENSG00000185344/ENSG00000185650/ENSG00000198121/ENSG00000198793/ENSG00000214274",80
"GO:0042692","GO:0042692","muscle cell differentiation","91/2281","462/21288",0.196969696969697,1.83826870192499,6.31050902973141,6.0911790314733e-09,3.45757471568357e-06,2.71042894701922e-06,"ENSG00000003402/ENSG00000004487/ENSG00000010278/ENSG00000011304/ENSG00000064309/ENSG00000066468/ENSG00000068305/ENSG00000069667/ENSG00000071127/ENSG00000072195/ENSG00000077943/ENSG00000078114/ENSG00000091136/ENSG00000100968/ENSG00000102554/ENSG00000104936/ENSG00000105204/ENSG00000105664/ENSG00000105971/ENSG00000106462/ENSG00000106991/ENSG00000108797/ENSG00000108840/ENSG00000108946/ENSG00000112062/ENSG00000112276/ENSG00000112531/ENSG00000112658/ENSG00000112715/ENSG00000112837/ENSG00000113721/ENSG00000114861/ENSG00000115183/ENSG00000115884/ENSG00000116128/ENSG00000116761/ENSG00000116962/ENSG00000117152/ENSG00000118579/ENSG00000121361/ENSG00000123213/ENSG00000124006/ENSG00000125398/ENSG00000129484/ENSG00000130402/ENSG00000130513/ENSG00000134243/ENSG00000134247/ENSG00000134853/ENSG00000135111/ENSG00000135679/ENSG00000135862/ENSG00000136383/ENSG00000136830/ENSG00000136999/ENSG00000139687/ENSG00000145362/ENSG00000147459/ENSG00000148400/ENSG00000148677/ENSG00000148814/ENSG00000148848/ENSG00000148926/ENSG00000150593/ENSG00000154736/ENSG00000159200/ENSG00000163069/ENSG00000163110/ENSG00000163431/ENSG00000164305/ENSG00000164850/ENSG00000169057/ENSG00000170365/ENSG00000170624/ENSG00000170776/ENSG00000172399/ENSG00000174437/ENSG00000176909/ENSG00000178209/ENSG00000181027/ENSG00000183023/ENSG00000183160/ENSG00000184009/ENSG00000184304/ENSG00000185532/ENSG00000186260/ENSG00000196569/ENSG00000196588/ENSG00000198793/ENSG00000198947/ENSG00000213341",91
"GO:0032956","GO:0032956","regulation of actin cytoskeleton organization","77/2281","373/21288",0.206434316353887,1.92659961707214,6.25432842755401,1.10344044893779e-08,5.74156846930632e-06,4.50087551540416e-06,"ENSG00000006451/ENSG00000046653/ENSG00000055163/ENSG00000067900/ENSG00000070087/ENSG00000070610/ENSG00000071127/ENSG00000073712/ENSG00000079691/ENSG00000088756/ENSG00000100092/ENSG00000102760/ENSG00000103647/ENSG00000106780/ENSG00000107104/ENSG00000107562/ENSG00000108830/ENSG00000111859/ENSG00000112290/ENSG00000113721/ENSG00000115963/ENSG00000117152/ENSG00000120899/ENSG00000121879/ENSG00000125753/ENSG00000125868/ENSG00000130340/ENSG00000132376/ENSG00000132854/ENSG00000132970/ENSG00000133789/ENSG00000134318/ENSG00000134853/ENSG00000135723/ENSG00000136051/ENSG00000136238/ENSG00000141298/ENSG00000143322/ENSG00000143761/ENSG00000144824/ENSG00000145242/ENSG00000145675/ENSG00000146122/ENSG00000148180/ENSG00000151491/ENSG00000156232/ENSG00000160460/ENSG00000162643/ENSG00000162704/ENSG00000163171/ENSG00000163431/ENSG00000165533/ENSG00000166949/ENSG00000167193/ENSG00000167657/ENSG00000168309/ENSG00000169750/ENSG00000170776/ENSG00000170873/ENSG00000170989/ENSG00000171132/ENSG00000172403/ENSG00000172602/ENSG00000172725/ENSG00000179820/ENSG00000184009/ENSG00000184304/ENSG00000186575/ENSG00000196405/ENSG00000196924/ENSG00000197045/ENSG00000197046/ENSG00000197321/ENSG00000197872/ENSG00000197948/ENSG00000198121/ENSG00000198793",77
"GO:0051216","GO:0051216","cartilage development","53/2281","222/21288",0.238738738738739,2.22808867613778,6.37203656888289,1.47579213576212e-08,7.08834315053745e-06,5.55662626015698e-06,"ENSG00000008710/ENSG00000054938/ENSG00000060718/ENSG00000100644/ENSG00000102882/ENSG00000104331/ENSG00000104415/ENSG00000105664/ENSG00000105855/ENSG00000105997/ENSG00000106571/ENSG00000108821/ENSG00000109906/ENSG00000110492/ENSG00000112062/ENSG00000112658/ENSG00000116132/ENSG00000116285/ENSG00000116604/ENSG00000125398/ENSG00000125965/ENSG00000134532/ENSG00000136378/ENSG00000136999/ENSG00000138669/ENSG00000138696/ENSG00000139567/ENSG00000139687/ENSG00000142871/ENSG00000147655/ENSG00000149257/ENSG00000155850/ENSG00000159167/ENSG00000159216/ENSG00000160200/ENSG00000162878/ENSG00000162998/ENSG00000163513/ENSG00000164920/ENSG00000165240/ENSG00000166949/ENSG00000168542/ENSG00000168646/ENSG00000170365/ENSG00000174697/ENSG00000176890/ENSG00000179295/ENSG00000182158/ENSG00000182197/ENSG00000182704/ENSG00000183688/ENSG00000196739/ENSG00000196843",53
"GO:0003012","GO:0003012","muscle system process","92/2281","482/21288",0.190871369294606,1.7813545416675,6.01091308419302,2.46651585537999e-08,1.09363997876337e-05,8.57315806542644e-06,"ENSG00000003402/ENSG00000006788/ENSG00000008083/ENSG00000028137/ENSG00000034152/ENSG00000049759/ENSG00000066135/ENSG00000067900/ENSG00000068305/ENSG00000069431/ENSG00000071282/ENSG00000073756/ENSG00000075142/ENSG00000080824/ENSG00000092841/ENSG00000100292/ENSG00000104936/ENSG00000105664/ENSG00000105711/ENSG00000105974/ENSG00000106462/ENSG00000107796/ENSG00000112658/ENSG00000114861/ENSG00000117152/ENSG00000118689/ENSG00000119508/ENSG00000121361/ENSG00000121879/ENSG00000122786/ENSG00000123358/ENSG00000129484/ENSG00000130005/ENSG00000130529/ENSG00000131730/ENSG00000132170/ENSG00000134318/ENSG00000134769/ENSG00000135111/ENSG00000136546/ENSG00000138735/ENSG00000143549/ENSG00000145362/ENSG00000147459/ENSG00000148180/ENSG00000148400/ENSG00000150594/ENSG00000150907/ENSG00000152642/ENSG00000155962/ENSG00000156113/ENSG00000156804/ENSG00000159167/ENSG00000162341/ENSG00000163110/ENSG00000163399/ENSG00000163431/ENSG00000163485/ENSG00000163697/ENSG00000163884/ENSG00000164171/ENSG00000164850/ENSG00000165895/ENSG00000165995/ENSG00000166949/ENSG00000167460/ENSG00000167657/ENSG00000168398/ENSG00000168621/ENSG00000170214/ENSG00000170624/ENSG00000171385/ENSG00000172399/ENSG00000174437/ENSG00000174697/ENSG00000175538/ENSG00000181027/ENSG00000181072/ENSG00000183023/ENSG00000183044/ENSG00000183963/ENSG00000184185/ENSG00000184304/ENSG00000185532/ENSG00000196465/ENSG00000196924/ENSG00000198363/ENSG00000198467/ENSG00000198668/ENSG00000198793/ENSG00000198947/ENSG00000213341",92
"GO:0002062","GO:0002062","chondrocyte differentiation","35/2281","121/21288",0.289256198347107,2.69955543639335,6.49473522573191,2.62725811682423e-08,1.09363997876337e-05,8.57315806542644e-06,"ENSG00000060718/ENSG00000100644/ENSG00000104331/ENSG00000104415/ENSG00000105664/ENSG00000106571/ENSG00000109906/ENSG00000110492/ENSG00000112062/ENSG00000116604/ENSG00000125398/ENSG00000125965/ENSG00000134532/ENSG00000136378/ENSG00000136999/ENSG00000138669/ENSG00000138696/ENSG00000139567/ENSG00000139687/ENSG00000149257/ENSG00000155850/ENSG00000159216/ENSG00000162878/ENSG00000163513/ENSG00000164920/ENSG00000166949/ENSG00000168542/ENSG00000168646/ENSG00000179295/ENSG00000182158/ENSG00000182197/ENSG00000182704/ENSG00000183688/ENSG00000196739/ENSG00000196843",35
"GO:0032868","GO:0032868","response to insulin","62/2281","284/21288",0.21830985915493,2.03743107483128,6.0972008727997,3.47234528300149e-08,1.35508274669133e-05,1.06226352407611e-05,"ENSG00000003402/ENSG00000004799/ENSG00000072310/ENSG00000089006/ENSG00000095637/ENSG00000100485/ENSG00000101255/ENSG00000102882/ENSG00000105971/ENSG00000107104/ENSG00000108821/ENSG00000108840/ENSG00000112062/ENSG00000114650/ENSG00000116285/ENSG00000117461/ENSG00000121361/ENSG00000121691/ENSG00000121858/ENSG00000121879/ENSG00000122877/ENSG00000123612/ENSG00000130766/ENSG00000131871/ENSG00000132155/ENSG00000132170/ENSG00000132334/ENSG00000132356/ENSG00000132376/ENSG00000134243/ENSG00000134324/ENSG00000136111/ENSG00000137642/ENSG00000139687/ENSG00000140443/ENSG00000145675/ENSG00000146247/ENSG00000148730/ENSG00000148926/ENSG00000149212/ENSG00000150907/ENSG00000153823/ENSG00000159346/ENSG00000163069/ENSG00000163083/ENSG00000163884/ENSG00000166263/ENSG00000166579/ENSG00000167114/ENSG00000168461/ENSG00000169047/ENSG00000173039/ENSG00000174697/ENSG00000178567/ENSG00000179295/ENSG00000185338/ENSG00000185650/ENSG00000185950/ENSG00000197594/ENSG00000197879/ENSG00000198793/ENSG00000233608",62
"GO:0036293","GO:0036293","response to decreased oxygen levels","73/2281","360/21288",0.202777777777778,1.89247406108432,5.91624397270433,5.66354470085633e-08,2.04111320410951e-05,1.60004996781908e-05,"ENSG00000003402/ENSG00000064393/ENSG00000066468/ENSG00000069667/ENSG00000073756/ENSG00000092969/ENSG00000100292/ENSG00000100644/ENSG00000101460/ENSG00000102760/ENSG00000105974/ENSG00000107438/ENSG00000107562/ENSG00000110090/ENSG00000112658/ENSG00000112715/ENSG00000114650/ENSG00000116016/ENSG00000116106/ENSG00000118689/ENSG00000119630/ENSG00000119772/ENSG00000120899/ENSG00000121361/ENSG00000121691/ENSG00000122641/ENSG00000123104/ENSG00000124440/ENSG00000124766/ENSG00000128342/ENSG00000129484/ENSG00000132170/ENSG00000132356/ENSG00000134318/ENSG00000135018/ENSG00000135679/ENSG00000136997/ENSG00000137801/ENSG00000139567/ENSG00000139644/ENSG00000140299/ENSG00000142279/ENSG00000145386/ENSG00000147140/ENSG00000148400/ENSG00000148926/ENSG00000150630/ENSG00000151694/ENSG00000153904/ENSG00000156113/ENSG00000158828/ENSG00000159167/ENSG00000160200/ENSG00000162692/ENSG00000163485/ENSG00000164171/ENSG00000164305/ENSG00000164442/ENSG00000164754/ENSG00000165240/ENSG00000165272/ENSG00000166949/ENSG00000169057/ENSG00000171132/ENSG00000172379/ENSG00000174697/ENSG00000174804/ENSG00000177674/ENSG00000183044/ENSG00000185122/ENSG00000185650/ENSG00000198793/ENSG00000214274",73
